osm_id	name	bench	btst	bus	departures_board	description	highway	layer	level	local_ref	mvv:zone	name:bar	name:etymology:wikidata	name:official	network	network:guid	network:short	network:wikidata	network:wikipedia	note	official_name	old_name	operator	public_transport	public_transport:version	rail	railway	railway:position	railway:ref	ref	ref:IFOPT	ref_name	shelter	short_name	source	subway	train	tram	uic_name	uic_ref	wheelchair	wheelchair:description	wheelchair:tram	wikidata	wikipedia	geometry
25874621	Heimeranplatz	NA	NA	NA	NA	Heimeranplatz, Gleis 1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DB Station&Service AG	stop_position	NA	NA	stop	NA	MHP	1	NA	NA	NA	NA	NA	NA	yes	NA	NA	8005419	NA	NA	NA	NA	NA	c(11.5315412, 48.1330475)
26510380	Harthaus	NA	NA	NA	NA	Harthaus, Gleis 1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DB Netz AG	stop_position	NA	NA	stop	NA	MHHS	1	NA	NA	NA	NA	NA	NA	yes	NA	NA	8002610	NA	NA	NA	NA	NA	c(11.3876944, 48.1334144)
26510435	Neuaubing	NA	NA	NA	NA	Neuaubing, Gleis 1, S8 Ri.Flughafen München	NA	NA	NA	NA	NA	Neiaubing	NA	NA	NA	NA	NA	NA	NA	NA	München-Neuaubing	NA	DB Netz AG	stop_position	NA	NA	stop	NA	MNA	1	NA	NA	NA	NA	NA	NA	yes	NA	NA	8004156	NA	NA	NA	NA	NA	c(11.422087, 48.1416749)
27120593	Englschalking	NA	NA	NA	NA	Englschalking, Gleis 1	NA	NA	NA	2	NA	NA	NA	München-Englschalking	MVV	NA	NA	NA	NA	NA	NA	NA	DB InfraGO AG	stop_position	NA	NA	stop	29.6	MEGS	2	NA	NA	NA	NA	NA	NA	yes	NA	München-Englschalking	8004144	yes	NA	NA	NA	NA	c(11.6483816, 48.1567599)
27120595	Unterföhring	NA	NA	NA	NA	Unterföhring, Gleis 2, S8 Ri.Flughafen München	NA	NA	NA	2	NA	NA	NA	NA	MVV	NA	NA	NA	NA	NA	NA	NA	DB InfraGO AG	stop_position	NA	NA	stop	9.8	MUFG	2	de:09184:2030:21:22	NA	NA	NA	NA	NA	yes	NA	Unterföhring	8005986	yes	NA	NA	NA	NA	c(11.6468537, 48.1900397)
27231556	Daglfing	NA	NA	NA	NA	Daglfing, Gleis 2	NA	NA	NA	2	NA	NA	NA	München-Daglfing	MVV	NA	NA	NA	NA	NA	NA	NA	DB InfraGO AG	stop_position	NA	NA	stop	5.3	MDFG	2	NA	NA	NA	NA	NA	NA	yes	NA	München-Daglfing	8004143	no	NA	NA	NA	NA	c(11.6493634, 48.1496219)
27233509	Großhesseloher Brücke	NA	NA	NA	NA	Großhesseloher Brücke, Stop Tram 15/N27 Richtung Max-Weber-Platz/Petuelring	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	1	de:09162:1125:2:1	NA	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	c(11.550314, 48.0765988)
27233931	Menterschwaige	NA	NA	NA	NA	Menterschwaige, Stop Tram 15/25/N27 Richtung Großhesseloher Brücke/Grünwald, Derbolfinger Platz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	c(11.5517361, 48.0801329)
27237618	Obermenzing	NA	NA	NA	NA	Obermenzing, Gleis 2	NA	NA	1	2	NA	NA	NA	NA	MVV	NA	NA	NA	NA	NA	München-Obermenzing	NA	DB Netz AG	stop_position	NA	NA	stop	7.4	MOZ	2	NA	NA	NA	NA	NA	NA	yes	NA	München-Obermenzing	8004157	yes	NA	NA	NA	NA	c(11.478102, 48.1642102)
27238496	Mittersendling	NA	NA	NA	NA	Mittersendling, Gleis 2, Meridian/S7/S20 Ri.Deisenhofen/Wolfratshausen/Höllriegelskreuth	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	München-Mittersendling	NA	DB Netz AG	stop_position	NA	NA	stop	NA	MMT	2	NA	NA	NA	NA	NA	NA	yes	NA	NA	8004154	NA	NA	NA	NA	NA	c(11.5363188, 48.1078322)
27238497	Harras	NA	NA	NA	NA	Harras, Gleis 2	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	München Harras	NA	DB Netz AG	stop_position	NA	NA	stop	NA	MHAR	2	NA	NA	NA	NA	NA	NA	yes	NA	NA	8004130	no	NA	NA	NA	NA	c(11.5364628, 48.1184054)
28176433	Trudering	NA	NA	NA	NA	Trudering, Gleis 4	NA	NA	NA	NA	NA	NA	NA	München-Trudering	NA	NA	NA	NA	NA	NA	NA	NA	DB Netz AG	stop_position	NA	NA	stop	NA	MTR	4	NA	NA	NA	NA	NA	NA	yes	NA	NA	8004162	yes	NA	NA	NA	NA	c(11.6633796, 48.1260718)
28179347	Ottobrunn	NA	NA	NA	NA	Ottobrunn, Gleis 1, S7	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DB Netz AG	stop_position	NA	NA	stop	NA	MOBR	1	de:09184:2210:21:21	NA	NA	NA	NA	NA	yes	NA	NA	8004733	yes	NA	NA	NA	NA	c(11.6783645, 48.0633229)
28179394	Neuperlach Süd	NA	NA	NA	NA	Neuperlach Süd, Gleis 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MVG	stop_position	NA	NA	stop	NA	NA	2	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	c(11.6450833, 48.0889165)
29013669	Säulingstraße	NA	NA	NA	NA	Säulingstraße, Stop Tram 18 Richtung Gondrellplatz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	c(11.5115612, 48.1272627)
29013675	Stegener Weg	NA	NA	NA	NA	Stegener Weg, Stop Tram 18 Richtung Gondrellplatz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	c(11.5082645, 48.1258794)
29013800	Westendstraße	NA	NA	NA	NA	Westendstraße, Tram 18 Richtung Gondrellplatz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	c(11.5221309, 48.1344472)
29913714	Sendlinger Tor	NA	NA	NA	NA	Sendlinger Tor, Gleis 2, U1/U2/U7/U8 Ri.Mangfallplatz/Messestadt Ost/Neuperlach Zentrum/Neuperlach Zentrum	NA	-4	-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	2	NA	Sendlinger Tor, München	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	c(11.5666437, 48.1333704)
33407678	Perlach	NA	NA	NA	NA	Perlach, Gleis 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	München-Perlach	NA	DB Netz AG	stop_position	NA	NA	stop	NA	MPER	2	NA	NA	NA	NA	NA	NA	yes	NA	NA	8004159	no	NA	NA	NA	NA	c(11.6313965, 48.0933724)
